reason,contexts,description,razorpay_guidance
already_declined,emandate_registration,Bank already declined an identical mandate registration; NPCI blocks duplicate retries.,Retry after 24 hours.
amount_less_than_minimum_amount,bad_request,Payment amount is below the bank's fixed minimum/fee threshold.,Raise amount above the bank minimum.
authentication_failed,bad_request|emandate_registration|gateway,3DS/OTP authentication failed - customer cancelled at the OTP screen or entered wrong details.,Customer must re-authenticate correctly.
authorisation_declined_by_psp,gateway,UPI PSP app rejected the authorisation request; often PSP downtime or a VPA problem.,"Recheck VPA and retry, or switch PSP app."
bank_account_invalid,bad_request|emandate_registration|emandate_subsequent,Bank account is not valid - closed by the customer or the bank.,Use a valid account or another method; re-register mandate.
bank_account_validation_failed,bad_request|emandate_registration|emandate_subsequent,Third-party validation of the supplied bank account details failed.,Verify account details and retry.
bank_cutoff_in_progress,gateway,"Bank core-banking cutoff window in progress - a periodic, scheduled bank event.",Retry after the cutoff window.
bank_not_available,gateway,Bank unavailable due to downtime or a technical issue.,Retry later.
bank_not_enabled,bad_request,Selected bank is not enabled on the merchant account.,Merchant must ask Razorpay to enable the bank.
bank_technical_error,bad_request|emandate_registration|emandate_subsequent|gateway,Issuing/destination bank core banking system hit a technical error during processing.,Retry later or use another bank account.
beneficiary_account_does_not_exist,gateway,Beneficiary account does not exist.,Contact Razorpay.
beneficiary_account_dormant,gateway,Beneficiary account is dormant.,Contact Razorpay.
capture_failed,bad_request,Payment capture step failed.,Contact Razorpay.
card_declined,gateway,Issuer declined the card without a more specific reason.,Retry with a different card or method.
card_expired,bad_request|emandate_registration,Card has passed its expiry date.,Customer must use a valid card.
card_network_not_enabled,bad_request,Card network (Visa/Mastercard/etc.) not enabled for the merchant.,Merchant must ask Razorpay to enable the network.
card_not_enrolled,bad_request,Card is not enrolled for this payment method.,Enrol the card or use another.
card_number_invalid,bad_request|emandate_registration,Card number does not match any valid BIN/IIN.,Customer must enter a valid card number.
card_type_invalid,bad_request,Card type is not valid for this transaction.,Use a supported card type.
collect_on_mcc_blocked,gateway,UPI Collect is blocked for this merchant category code.,Contact Razorpay.
collect_request_pending,gateway,A UPI collect request is already pending for this transaction.,Wait for the pending request to resolve.
compliance_violation,bad_request,Payment violates a compliance requirement.,Ensure the payment meets compliance rules.
credit_failed,gateway,Credit processing failed.,Retry or use another method.
credit_limit_exceeded,gateway,Customer's credit limit has been exceeded.,Reduce amount or use another method.
credit_limit_expired,gateway,Customer's credit limit has expired.,Renew limit or use another method.
credit_limit_inactive,gateway,Customer's credit limit is inactive.,Activate limit or use another method.
credit_limit_not_approved,gateway,Customer's credit limit is not approved.,Get limit approved or use another method.
credit_not_permitted,gateway,Credit transactions are not permitted for this customer.,Use another payment method.
debit_declined,gateway,Debit transaction declined by the issuer.,Retry with another method.
debit_instrument_blocked,bad_request|emandate_registration|emandate_subsequent|gateway,Card or account is blocked by the issuer or by the customer.,Use a different instrument; customer may need to contact their bank.
debit_instrument_inactive,emandate_registration|emandate_subsequent|gateway,Card or account is inactive or frozen; withdrawals temporarily blocked.,Activate the instrument or contact the bank.
deemed_transaction,gateway,Transaction is deemed and cannot be processed.,Contact Razorpay.
duplicate_refund_id,bad_request,A refund with this ID already exists.,Use a unique refund ID.
duplicate_request,bad_request|emandate_registration,An identical payment request was already sent; the gateway blocks duplicates.,Retry after ~30 minutes.
duplicate_rrn_found,gateway,Duplicate retrieval reference number detected.,Retry as a new transaction.
emi_greater_than_max_amount,bad_request,EMI amount exceeds the maximum allowed.,Reduce amount or use another method.
emi_plan_unavailable,bad_request,Requested EMI plan is unavailable.,Choose a different plan or method.
funds_blocked_by_mandate,gateway,Funds are locked by an existing mandate on the account.,Release the mandate or use another account.
gateway_technical_error,emandate_registration|emandate_subsequent|gateway,Gateway server hit a technical error while processing the payment.,Retry after some time.
incorrect_atm_pin,bad_request,Incorrect ATM PIN entered.,Customer must enter the correct PIN.
incorrect_card_details,bad_request,Incorrect card details entered.,Customer must correct the card details.
incorrect_card_expiry_date,bad_request|emandate_registration,Incorrect card expiry date entered.,Customer must enter the correct expiry date.
incorrect_cardholder_name,bad_request,Incorrect cardholder name entered.,Customer must correct the cardholder name.
incorrect_cvv,bad_request|emandate_registration,Incorrect CVV entered.,Customer must retry with the correct CVV.
incorrect_ifsc,emandate_subsequent,Stored bank IFSC code is no longer valid.,Customer must re-register the mandate.
incorrect_otp,bad_request|emandate_registration,Incorrect OTP entered.,Customer must retry with the correct OTP.
incorrect_pin,bad_request|emandate_registration,Incorrect PIN entered.,Customer must retry with the correct PIN.
input_validation_failed,bad_request|emandate_subsequent,Payment request contained wrong or malformed parameters.,Merchant must fix the request parameters.
insufficient_funds,bad_request|emandate_registration|emandate_subsequent,Account does not hold enough balance to complete the payment.,"Retry once the customer has funds, or use another method."
international_transaction_not_allowed,bad_request,International transactions are not permitted on this instrument.,Use a domestic method or enable international.
invalid_amount,bad_request|emandate_subsequent,Amount or currency in the request is unsupported or malformed.,Merchant must fix the amount field.
invalid_currency,bad_request,Currency passed is unsupported or invalid.,Use a supported currency code.
invalid_device,bad_request,Device used is invalid for this transaction.,Use a valid device.
